,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
2,4/18/2019 12:10:12,Andrew Bowen,3090427,3090427,Reader 1,5,4,5,5,"College Democrats, Design For America, Society of Woman Engineers",Higher,"Reading this application, it seems to me that this person really does have a passion for NU that comes through whenever you interact with them. I think they would make a great tour guide!","I'd like to see if they have expanded past the design/engineering field into other areas. Not a knock on them, but would love to see how well-rounded this student is","WCAS, MEAS","Manufacturing and Design Engineering, Poli Sci"
4,4/18/2019 12:16:42,Andrew Bowen,3095497,3095497,Reader 1,3,2,2,1,"Sigma Chi, Jewish Theatre Ensemble, NSTV",No Change,I personally didn't love this person's answers to the slogan/floy on the wall questions. They seemed to not be super passionate about Northwestern,It seemed like there was little effort put into the application as a whole. Overall I felt that this person wouldn't be a very enthusiastic tour guide,SESP,LOC
6,4/18/2019 12:21:29,Andrew Bowen,3062713,3062713,Reader 1,3,4,3,3,"GlobeMed, AEPi, Feinberg, IM Sports, ASG, Northwestern Sustainability, Fund",,This person seems to be involved with a lot on campus and definitely is open to new experiences.,I'm a little concerned this person may not be able to talk to things that they aren't involved with. Also I'm not sure how effective they would be at being able to spin negatives.,WCAS,"Economics, Chem"
18,4/18/2019 15:53:49,Andrew Bowen,3095737,3095737,Reader 2,5,5,4,5,"Soul4Real A Capella, Phi Mu Alpha, NU Tabletop Club, Comm. Res College",,This person's energy and passion for NU really showed through on their app. Also I think they would be great at spinning stuff and showing the positives of NU to tour groups. This was a very thoughtful application and represented the person well,-,WCAS,Undeclared (Econ & Theatre likely)
19,4/18/2019 15:58:07,Andrew Bowen,3095681,3095681,Reader 2,4,2,3,2,NU Triathlon,,"This person is an international student, which definitely brings an invaluable perspective. Also, they seem to really enjoy NU and could talk about that a lot","It seemed like this application could apply to more colleges than NU. Also their responses were pretty brief and didn't show tremendous energy. Also, this student is only involved in one club on campus which would limit their ability to speak to multiple experiences",SOC,RTVF
20,4/18/2019 16:03:47,Andrew Bowen,3090795,3090795,Reader 2,2,4,2,1,"Students for Ecological and Environmental Development (SEED), BME Society, Society of Women in Engineering, WIC, Pre-Vet Society, Happiness Club, Book Club, Planned Parenthood, Evanston Animal Shelter",,They showed appreciation for other majors (non-BME) and are very involved on campus. They also showed some enthusiasm for NU,"It seemed like they didn't spend a ton of time on the app (very short answers, a bit generic). Also, They mentioned their favorite campus activity was the therapy dogs at the library, which I thought was odd because they listed a lot of student groups. Overall this app didn't feel very complete to me",MEAS,"BME, Chem"
21,4/18/2019 16:08:45,Andrew Bowen,3063498,3063498,Reader 2,4,3,3,2,"NU Cheerleading, Delta Zeta, America Reads, Syntax Club",,"This person definitely has a passion for NU, serving on the cheerleading team. Overall I thought she exhibited enthusiasm","I didn't get a sense that this person would be great at spin, but maybe an interview would give us more insight into that. I also didn't love her answers to the slogan/fly on the wall questions. They either didn't answer the question or were very vague. Also it seemed like the person didn't put a great deal of thought into the app",WCAS,"Linguistics, Legal Studies"
22,4/18/2019 16:17:28,Andrew Bowen,3090166,3090166,Reader 2,4,3,4,5,"NUDM, NU Political Union, Hillel, Music Production",,This person gave very thoughtful answers to the questions and seems to want to interact with new students. Also their first year experience is something that they could definitely talk about on tours which is good,Ability to spin is a concern for me. Also it seems like they wouldn't be enthused about talking about things outside of their wheelhouse,WCAS,"Middle Eastern North African Studies,  International Relations, Environmental Policy and Culture"
23,4/18/2019 16:25:15,Andrew Bowen,3052112,3052112,Reader 2,5,5,4,5,"AChiO, Lipstick theatre, Planned Parenthood, Girl Scouts, Student Theatre",Higher,This person gave great answers to the questions and definitely has great passion for NU. Their energy was apparent in both the written and video portions and I think would make a great tour guide,"Her answers seemed a bit generic but I thought she was creative with the ""who would you want to be"" question",SOC,"Theatre, History, Gender Studies*/Musical Theatre*"
24,4/18/2019 16:29:55,Andrew Bowen,3094104,3094104,Reader 2,4,5,3,5,"WNUR Sports, Mayfest, Concert Band",,"This person emphasized the inter-disciplinary aspect of NU really well, which leads me to believe he can spin effectively. He also demonstrated great energy about the university",It read a bit generic but overall I thought it was a very good app,WCAS,Poli Sci
