,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
115,4/19/2019 19:09:35,Cami Steppe,3090183,3090183,Reader 1,4,3,4,5,"Significant Others, Advocacy Corps ",,"This applicant did a great job answering the questions in a creative and original way. They seem to know a good bit about NU, but could learn a little bit more, although they talk about learning a lot from upperclassmen so that could make up it! ",,WCAS,Political Science 
116,4/19/2019 19:12:00,Cami Steppe,3090545,3090545,Reader 1,5,1,1,0,"College Democrats, NUMUN ",,"The answers to the questions were all extremely short, didn't seem like a lot of time was put into the application at all. The slogan was not original, and it doesn't seem like this person has an understanding of a lot of things on campus. ",,WCAS,Political and Environmental Science
117,4/19/2019 19:18:39,Cami Steppe,3127973,3127973,Reader 1,3,3,4,5,"Delta Zeta, Undergrad Research, Club Water Polo",,"This applicant definitely spent time answering the questions, but her answer to the slogan question has a lack of spin, and more focuses on AND in our DNA being a bad slogan and how it perpetuates a bad culture at NU. The answer to the lesson question was original, but it was about a breakfast sandwich, and I imagine there are other things she has learned about at NU. ",,MEAS,"Biomedical Engineering, Pre Med"
128,4/19/2019 23:11:37,Cami Steppe,3026024,3026024,Reader 1,4,4,5,5,"Sit & Spin, StuCo",,"This application was written so well and in such an original manner, I could really feel something from his responses. Could do a little bit better in terms of campus awareness but overall I get the sense that this applicant would make a great tour guide. ",,SOC,"Theatre, International Studies, Creative Writing"
129,4/19/2019 23:41:50,Cami Steppe,3094196,3094196,Reader 1,4,3,3,5,"Engineers without borders, NUDM, ISBE ",,"This applicant answered all of the questions thoroughly but I think that they could use a little more time to gain more campus awareness. While they are involved in a few different student groups, nothing from the application stood out about their campus awareness. ",,MEAS,"Manufacturing and Design Engineering, Comp Sci "
130,4/19/2019 23:45:23,Cami Steppe,2881755,2881755,Reader 1,3,3,2,2,"Concerts at Bienen, SAI, Philharmonia, Wishmakers on Campus, Guitar Ensemble",,"This applicant's answers were all very brief and although they have great knowledge about the music opportunities on campus, their campus awareness does not seem to go past the music world. Additionally, their answers were not very original. ",,Bienen,"Guitar Performance, Music Composition "
131,4/19/2019 23:50:43,Cami Steppe,3090108,3090108,Reader 1,4,3,4,3,"The Blackout, Student Theatre Project ",,"This applicant answers almost all of the questions greatly, but the coolest lesson question is lacking, making me score this application lower than the other answers deserve. The other answers show originality and a campus awareness as well, but the one short and unfulfilling answer really threw me for a loop.",,SOC,"Theatre, Film Studies, IMC "
132,4/20/2019 0:04:27,Cami Steppe,3152203,3152203,Reader 1,4,5,3,4,"Lambda Chi, Northwestern Recreation, Transfer Student Organization, GES, NSFP, Scene + Heard, Purple preview host  ",,"This applicant is involved in a huge variety of activities - definitely demonstrates campus involvement. However, despite this, his activity was one that he hasn't done yet which was somewhat strange to me when I saw the list of things he is involved in. but overall, a good thorough application! ",,WCAS,"Stats, Geography, Transportation & Logistics "
149,4/20/2019 18:54:21,Cami Steppe,3090321,3090321,Reader 1,3,3,2,3,"Refresh, K-Dance, Chi Omega, CSA, KASA ",,"This applicant did not answer the questions very thoroughly. They also did not show a huge amount of campus involvement in their answers, despite being involved in many different activities, and their slogan was not original whatsoever. ",,"WCAS, Medill","psych and global health, pre-med "
150,4/20/2019 18:58:22,Cami Steppe,3117197,3117197,Reader 1,4,3,4,5,"THUNK, Steam Heat, Work-Study ",,"This applicant was super thorough and original, but could have a little more campus awareness. ",,SOC,"Theatre, Dance, Sociology, Musical Theatre, IMC "
