,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
331,4/23/2019 8:32:58,Daniel Wu,3094712,3094712,Reader 1,3,4,3,3,"Extreme Measures, Sig Chi, Freshman Musical, Linguistics Research",,"I think they have a lot of potential - some of the responses were quite short and I wanted to hear more. Involved in a lot of different things and likely has interesting stories, I just didn't hear them through the application. ",,"WCAS, SOC","Linguistics, Communication Studies"
332,4/23/2019 8:39:31,Daniel Wu,3096617,3096617,Reader 1,4,4,4,4,"A Phi, NBR, Phi Alpha Delta",,Involved deeply in the extra curricular she is a part of. Seems clear that she has a lot of stories to tell and does a good job communicating them here.,,WCAS,"Economics, BIP, IMC"
334,4/23/2019 8:50:35,Daniel Wu,3094171,3094171,Reader 1,5,4,4,4,"Boomshaka, Club Tennis, Pi phi",,I think this person would make a great tour guide - seems like she is involved in a lot. I think she should get an interview - interesting to see how this all translates in person. ,,WCAS,Statistics
336,4/23/2019 8:53:30,Daniel Wu,3137829,3137829,Reader 1,5,3,5,5,GungHo Ultimate Team,,"Clearly spent a lot of time on the application - thoughtful, clearly articulated responses (and good spin) that don't get sidetracked. Great app overall, but nervous that this person is involved with one activity outside class.",,WCAS,"Environmental Science and Global Health, Spanish (minor)"
337,4/23/2019 8:55:38,Daniel Wu,3052034,3052034,Reader 1,4,4,4,4,"WNUR, Desire to Aspire, Chi O",No Change,Warrants an interview. Interesting stories that are communicated thoroughly. Great spin.,,SOC,"Communication Studies, ""Segal Design Certificate  Integrated Marketing Certificate"""
341,4/23/2019 9:14:39,Daniel Wu,2966511,2966511,Reader 1,4,3,3,4,"TBD, theatre productions",,Seems worth having an interview - curious if this applicant would be a stronger tour guide after another year of experience. Certainly thoughtful and well-communicated.,,"WCAS, SOC","Theatre, Psychology, History (minor)"
345,4/23/2019 9:26:53,Daniel Wu,3099528,3099528,Reader 1,3,3,3,3,none listed outside of classroom commitments,No Change,"This felt very ""fine"" to me - there are certainly stronger applicants in the pol. I wouldn't die if this applicant was not my NU tour guide. ",,"SOC, Bienen",Vocal Performance and Communication Studies
359,4/23/2019 10:39:30,Daniel Wu,3141986,3141986,Reader 1,4,3,3,4,"Kellogg Marketing office, DM, DZ, Women in Law, Hillel",,"Great messages but the delivery felt kind of pretentious and that the applicant was trying to impart life wisdom onto the reader which felt out of place for a tour guide application. Wholesome intentions, questionable delivery.",,SOC,"Communications, BIP, Psych"
361,4/23/2019 10:42:43,Daniel Wu,3025973,3025973,Reader 1,3,4,3,2,"See Saw, Chi O, Eye to Eye",,"This was a fine application. Not bad, probably worth an interview.",,"WCAS, SOC","Theatre, Psychology (minor)"
363,4/23/2019 10:46:40,Daniel Wu,3036817,3036817,Reader 1,3,3,3,4,"Stitch, Political Union, NU Nights, Peer Adviser",,"Good spin, worth interviewing, but I was, after reading all of my applications, more taken by other applications. Seems to have a lot of school spirit which would make this candidate a good fit.",,WCAS,"Economics, Psychology, IMC"
366,4/23/2019 10:51:26,Daniel Wu,3090258,3090258,Reader 1,4,3,3,4,Gung Ho Ultimate,,"This was a nice application, a bit short, and the content was fine. I can tell that this is a very nice person, probably someone I would want to be friends with IRL, but I would definitely evaluate tour guide fit during the interview.",,WCAS,Undeclared
