,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
307,4/22/2019 20:44:51,Emily Coffee,2997621,2997621,Reader 2,3,4,2,4,-Freshman Fifteen A Capella   -Purple Crayon Players   -Mayfest Programming Committee   -The Blackout   -Niteskool Productions  -STUCO/Wirtz Theater Productions   -MAG Film Sets -Zeta Beta Tau Fraternity,,"Just pretty mediocre, talked a lot about passion and being able to do stuff outside of major, but also mostly does stuff that involves RTVF?",,SOC,RTVF
310,4/22/2019 20:51:21,Emily Coffee,3094062,3094062,Reader 2,5,4,4,5,"Undertones, Spectrum Theatre",,"They spin pretty well!! But also, seem a little entrenched in certain parts of NU maybe? Some parts felt a little braggy but I don't think it was intentional.",,SOC,"Theatre, Gender & Sexuality Studies"
313,4/22/2019 21:31:35,Emily Coffee,2972620,2972620,Reader 2,2,4,3,1,"Girl Up, CSA, Northwestern Visual Society",,Really short answers so there's just not a lot of depth here.,,WCAS,"Environmental Science, Comparative Literary Studies, General Music Minor"
315,4/22/2019 21:37:48,Emily Coffee,3106633,3106633,Reader 2,4,4,3,3,"NSFP 2019-2020 Peer Adviser, Music Cognition Lab Research Assistant, Undergraduate Psychology Association, Kappa Delta Sorority, Sisterhood Enrichment Team Leader, Alice Millar Chapel Choir",,"In general I felt a little mediocre about this, it felt kind of cheesy. But this person does a lot and is involved in quite a few areas of campus! ",,Bienen,"Music Cognition/Minors: Psychology, Communication Sciences and Disorders "
317,4/22/2019 21:44:14,Emily Coffee,3115022,3115022,Reader 2,4,3,5,5,"EPIC, TAMID Investment Fund, Alpha Epsilon Pi Fraternity\",,"They do seem invested in one specific part of campus, but its not necessarily te stereotypical tour guide part so that's cool! I also think their start up is great, and they have really unique passions which is fun.",,MEAS,"Computer Science and Statistics/Minors: Business, German"
322,4/22/2019 22:03:32,Emily Coffee,3030864,3030864,Reader 2,5,4,3,5,"Camp Kesem, Northwestern Opera, AMPED, Kappa Delta",,They have some really cool extracurriculars. Content related to like the facets of Northwestern are a little unoriginal.,,Bienen,"Vocal Performance, Music Education"
323,4/22/2019 22:14:56,Emily Coffee,3086558,3086558,Reader 2,4,3,4,5,"Global Brigades, Delta Tau Delta Fraternity, Club Tennis",,So brave for being in a fraternity. But also he spun that well and had some solid explanations.,,WCAS,"History, Economics/Minor: Transportation and Logistics"
324,4/22/2019 22:27:31,Emily Coffee,3090545,3090545,Reader 2,3,2,2,1,"College Democrats, NUMUN",,"They had really short answers, and didn't say anything particularly insightful.",,WCAS,Political and Environmental Science
325,4/22/2019 22:34:25,Emily Coffee,3016726,3016726,Reader 2,4,3,2,3,"Model UN, AEPi Film Sets, The Blackout, Research",,"This person had solid answers, they just weren't extremely exciting. There seems to be a lot of passion but it's not really unique.",,"WCAS, SOC","Economics, RTVF/Minor: Creative Writing (undeclared)"
419,4/23/2019 20:33:52,Emily Coffee,3094163,3094163,Reader 2,5,4,4,5,"Club Lacrosse Player, Women in Business Member, Institute for Student Business Education, Book Buddies",,"I thought some answers were a little boring, but others (like the day spent as someone on campus) were funny and original. ",,WCAS,"""Economics (Intended)   Political Science (Intended)"""
420,4/23/2019 20:39:47,Emily Coffee,3093375,3093375,Reader 2,3,3,4,4,"Northwestern Sports Analytics, Club Baseball, Phi Kappa Psi, NUDM Committee ",,"He kind of answered the questions incorrectly, but i thought his lesson was original I just wish he had expanded a little more.",,WCAS,Mathematics/Minor: Computer Science
