,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
247,4/22/2019 11:45:20,Jane Recker,3094104,3094104,Reader 1,3,4,4,4,"Mayfest, WNUR, Concert Band",,"They got a little repetitive at times and didn't have a ton of personality, but they had a really cool range of activities (from Poli Sci to percussion) and found unique ways their extracurriculars helped them in the classroom, like WNUR helping with public speaking. They also had a good focus on NU giving students the opportunity to do anything they want to do.",,WCAS,Political Science
253,4/22/2019 11:58:37,Jane Recker,3095117,3095117,Reader 1,2,2,2,3,Work study research assistant,,"This person was just kind of...intense. A lot of their application talked about the difficulty of classes and ""struggling to follow your path"" and to me didn't offer a range of opportunities and experiences that we have at Northwestern.",,WCAS,Psychology
254,4/22/2019 12:04:48,Jane Recker,3097111,3097111,Reader 1,1,2,1,2,"Phonathon, Willard Exec Board, Hearts for the Homeless, Ukulele club",,"They talked a LOT about the mental health issue on campus with zero spin on it, and also alluded to the admission scandal in the rebranding section. Their view of Northwestern also seems to be solely within their own experience.",,WCAS,"Slavic Languages, Russian"
257,4/22/2019 12:12:06,Jane Recker,3090044,3090044,Reader 1,3,1,1,3,Cheerleading,,"Their application was fine but they didn't really say anything specific, it could apply to any school. It also seems like they're still working on independence and making decisions for themselves, which I think would be important to develop more before becoming a tour guide.",,WCAS,Undecided/Global Health Statistics
261,4/22/2019 12:32:21,Jane Recker,3044252,3044252,Reader 1,2,1,2,2,Concerts at Bienen ,,"I got an air of self-righteousness from this person and a disconnect from the student body as a whole. While there were parts of NU that they really liked, they failed to recognize and empathize with a range of student experiences.",,WCAS,Neuroscience
267,4/22/2019 14:00:44,Jane Recker,3094157,3094157,Reader 1,2,3,2,4,"Ultimate Frisbee, films",,"This person has the right mindset about Northwestern and highlights some good aspects of the community, but they're not super specific and sometimes are a little too laid-back about some things, i.e. talking about skipping class. I'd give them another year.",,"WCAS, SOC","RTVF, Economics"
268,4/22/2019 14:05:30,Jane Recker,3022511,3022511,Reader 1,4,2,2,4,"NU Parliamentary Debate, Phonathon, Intramural sports",,"This person had good, positive, clear responses but seemed like they only knew about their own personal experience at Northwestern.",,WCAS,"Economics, Political Science"
269,4/22/2019 14:10:54,Jane Recker,3014198,3014198,Reader 1,4,3,5,5,Brewbike,,"This person showed a lot of personality in their responses and had engaging stories about NU with good spin that made me love the school even more. The only reason they didn't get a 5 on appropriateness is because they were a little too honest about NU students overextending themselves, but it seems like they could easily learn to spin that.",,WCAS,"Biological Sciences, Global Health Studies"
270,4/22/2019 14:18:27,Jane Recker,3094154,3094154,Reader 1,5,1,2,3,"EPIC Sprout, LEND Evanston, Alumni Ventures Group",No Change,"It seems like he's really passionate about Northwestern and has appropriate takes, but I think another year would serve him well, he's just lacking on campus awareness",,SESP,Learning and Organizational Change
271,4/22/2019 14:24:45,Jane Recker,3024992,3024992,Reader 1,5,3,5,5,"Chi Omega, ISRC Exec Board, RCB Exec Board, CATALYST ",,"I really loved this application, they were honest about their experiences while always managing to frame it in a positive light, they showed their love for NU and they highlighted some great aspects of the school that often get overlooked (like the residential colleges). I gave a lower score for awareness because it wasn't really showed in the application, but I feel like in person they'd show they know more about the school than was reflected through their responses.",,SESP,Learning and Organizational Change
272,4/22/2019 14:32:09,Jane Recker,3083800,3083800,Reader 1,4,4,5,4,"The Daily Northwestern, Willard Exec Board, Wildside",,"This person had a good application that highlighted some of the most original parts of NU and generally had good spin, but it was a little ""freshman-y"" (Could show a little more campus awareness, be a little more focused, etc). I'd be really interested to see whether they're stronger in person.",,Medill,Journalism
276,4/22/2019 14:57:59,Jane Recker,3093118,3093118,Reader 1,4,2,1,2,"Delta Chi, Ultimate Frisbee",,"This person had good things to say about NU, but they were all very generic and lacked detail or context.",,"WCAS, SOC","Communication Studies, Economics"
277,4/22/2019 15:04:34,Jane Recker,2950555,2950555,Reader 1,2,3,2,3,"Club Lacrosse, SPAC, SWE",,They have a good general attitude but could veer a little off-topic and provide too much detail. Their NU takes were also very generic and could apply to any school that had a positive environment.,,MEAS,Biomedical Engineering
278,4/22/2019 15:08:08,Jane Recker,3010191,3010191,Reader 1,4,1,1,1,"Mee-Ow, ODB, Titanic, Vertigo",,"The responses here were really short and didn't provide much detail. This person clearly really likes improv, but that's about all I gleaned from this application.",,SOC,Theatre
279,4/22/2019 15:17:10,Jane Recker,3076860,3076860,Reader 1,3,3,5,4,"StuCo shows, NSTV, TBD performance group, ",No Change,"They have a lot of enthusiasm, seem really creative and engaging, are able to talk about what makes Northwestern unique and have a decent understanding of all the different things available on campus. However, in an effort to be humorous and stand out, they can sometimes come off as irreverent and rambling. It's fine for talking about more lighthearted parts of the NU experience, but I'm interested how they would be able to handle more serious issues (mental health, cost, diversity, etc.)",,SOC,"Theatre, Economics"
280,4/22/2019 15:23:20,Jane Recker,3037075,3037075,Reader 1,4,4,2,3,"TEDx Northwestern, NUMUN, Phi Delta Theta, IMG, research",,"This person seemed like they had a good grasp of the range of experiences at NU as well as what makes it unique, but they didn't expound a ton on their answers which made them kind of generic. I think if this person had added another sentence or two to each response it could be a much stronger application.",,MEAS,Chemical Engineering
281,4/22/2019 15:30:45,Jane Recker,3124955,3124955,Reader 1,5,3,4,4,"Mayfest, Blackout, RTVF",,"This person had a lot of enthusiasm and personality, their responses were enjoyable to read. Their ""new slogan"" response was fantastic: it highlighted what makes NU different and provided a good personal anecdote. Their other responses were a little more generic, but I'm interested to see if they could flesh out their experiences and views more in person. ",,SOC,RTVF
342,4/23/2019 9:13:56,Jane Recker,3090250,3090250,Reader 1,5,3,4,5,"Family Ambassador, Best Buddies, DM",,"This person was really enthusiastic and highlighted some great aspects about Northwestern that are often overlooked. They didn't show a ton of campus awareness in their application, but I feel like that could be demonstrated better in person.",,WCAS,Biology or Psychology
