,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
431,4/24/2019 0:41:31,Lauren Gold,3078591,3078591,Reader 2,4,3,3,4,"Peer Guided Study Group Facilitator, Red Cross Club",,Transfer student; definitely has a lot of passion for NU!!; could probably give a great STEM tour but only mentions STEM things; a little wordy in responses,,WCAS,Biology (Biochemistry and Biophysics concentrations); Biotechnology and Biochemical Engineering minors; Pre-med (NUPSP)
432,4/24/2019 0:51:16,Lauren Gold,3094154,3094154,Reader 2,2,1,0,0,Garage; EPIC sprout; LEND Evanston; Alumni Ventures Group,Lower,"Answers were super brief and very generic; video essentially said his ""Why Northwestern?"" was simply location; lists interesting activities but only mentions The Garage in answers",,SESP,LOC; Entrepreneurship minor 
433,4/24/2019 0:59:05,Lauren Gold,3094104,3094104,Reader 2,4,5,4,5,Mayfest Productions; WNUR Sports; Concert Band,,this app mentioned so many things that I mention on my tours; this person definitely has a good understanding of NU; passionate about extracurriculars,,WCAS,"Poli Sci Major; deciding b/t History, Business Institutions, or Econ minor; IMC"
434,4/24/2019 1:09:25,Lauren Gold,3083800,3083800,Reader 2,2,4,3,5,"Daily, Willard Exec Board, Wildside",,"was a tour guide in HS; very thorough responses (even the organizations list has descriptions); mentions ""the threat of frostbite"" and says that ""it's easy to feel stressed"" here...but does explain how students overcome these things bc of NU",,Medill,Journalism; Environmental Policy and Culture minor 
435,4/24/2019 1:15:49,Lauren Gold,3036817,3036817,Reader 2,4,4,2,3,"Peer Advisor, STITCH, Political Union, NU Nights",,transfer student; definitely demonstrates passion for NU (esp through NU Nights and PA roles),,WCAS,Econ + Psych Majors; IMC
436,4/24/2019 1:51:55,Lauren Gold,3089840,3089840,Reader 2,2,1,1,1,"Global Medical Missions Alliance, AAIV, research",,very brief and generic responses; does not go in depth with thoughts,,"WCAS, MEAS",BME Major; Psych Minor; Pre-med
437,4/24/2019 2:00:09,Lauren Gold,3045618,3045618,Reader 2,2,3,4,5,"Flipside, NBN, Nine Lives Podcast, Work Study at Medill Office of External Programs",,"very creative, interesting responses that were enjoyable to read; seems to appreciate what NU has to offer; does mention that NU can be stressful and doesn't really spin it well, but I still think that this person is intriguing enough to get an interview",,Medill,Journalism; International Studies
438,4/24/2019 2:06:48,Lauren Gold,2881755,2881755,Reader 2,0,1,0,0,"Concerts at Bienen, SAI Sorority, Philharmonia, Wishmakers, Guitar Ensemble",,"responses are very brief and lack depth; mentions that major is stressful w/o any spin; lesson is about cutting toxic people out of life so doesn't really have to do with NU, very generic slogan",,Bienen,Guitar Performance; Music Comp
439,4/24/2019 2:13:53,Lauren Gold,3117197,3117197,Reader 2,3,1,1,2,"THUNK A Cappella, Steam Heat, Work Study",,this app was honestly a little too cheesy for me; don't really see the connection b/t lesson and NU; a cappella is the only specific aspect of NU mentioned,,SOC,theatre major; sociology and dance minors; MT and IMC certs
440,4/24/2019 2:22:25,Lauren Gold,3094181,3094181,Reader 2,5,5,5,5,"PA, Research Assistant, President of Willard, Purple Preview, Delta Tau Delta Fraternity",,"This was a great application; I have a lot of faith in this person as a potential tour guide; very interesting, creative responses; has hosted for Purple Preview; provided interesting insight into Greek life",,SESP,"Deciding between Social Policy and LOC; Leadership cert, planning to do IMC"
