,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
202,4/21/2019 20:09:03,Meghan Harshaw,3078591,3078591,Reader 1,2,2,1,3,"Peer guided study group, American Red Cross",,"I felt that this application was very general (not super NU specific) since it repeatedly mentioned being a transfer to explain why NU is so great, which didn't make sense to me. I think this person is very excited and interested in being a tour guide, but doesn't seem particularly well rounded as a student - they seem very in the pre-med box. I don't think the campus involvement shows an interest in the actual campus, since the involvement listed is not through Northwestern.",,WCAS,"Biology, concentration in Biochemistry and Biophysics"
204,4/21/2019 20:15:59,Meghan Harshaw,3094684,3094684,Reader 1,3,4,4,4,"Zeta Tau Alpha,  Global Arts Marketing Research Assistant,  Scene + Heard,  The Daily Northwestern, NUDM",,"I enjoyed reading this application because the person's personality came through, and they seem very well-rounded/knowledgeable about NU. They gave concise, specific examples to back up points they brought up, which were NU specific. I felt that this person is not TOO serious about their love for NU but it shines through more naturally. I would love to hear what this person has to say in an interview. ",,SOC,Communication studies and jazz studies
206,4/21/2019 20:20:18,Meghan Harshaw,3085787,3085787,Reader 1,2,2,1,3,"Peer Health Exchange, college Mentors",,"I think this application could use more details, personality, and NU specifics. I didn't feel that this person really wants to be a tour guide, or why/what they love about the school. It seemed that they just enjoy their college experience so far but I didn't learn much about them. ",,WCAS,Neuroscience
209,4/21/2019 20:31:38,Meghan Harshaw,3141593,3141593,Reader 1,0,0,0,0,"Residential Hall Association, Academy of Music and Arts for Special Education, Panoramic Photography Club, WNUR, MakeNew Christian Fellowship",,"I feel mean giving this person all 0's but the whole application was 5 sentences and never mentioned Northwestern... The applicant mentions a class they took as their most important lesson, which I guess is NU specific, but that's about it. They also answered the question about their favorite activity as a cappella but then clarify they are not in an a cappella group, which is a little confusing. It seems odd that the application was so short when they are a Journalism major (clearly capable of writing and being engaging). Other than that, not much else I have to say. ","I just don't think they really filled out the application, seems like they might not be the best at following instructions.",Medill,Journalism
212,4/21/2019 20:47:03,Meghan Harshaw,3090345,3090345,Reader 1,1,3,3,3,"Hillel FYSH, GPhi, ResilientNU",,"I felt like this person is involved and interested in the uniqueness of NU, but could use help articulating it better. I think the application is worthy of an interview, but that this person could work on framing things in a better light (for example, instead of mentioning that students are worn out and don't think about mental health, just talk about how in the case that students are struggling, X club does XYZ)",,MEAS,Chemical Engineering
213,4/21/2019 20:53:35,Meghan Harshaw,3094276,3094276,Reader 1,0,0,0,0,"Northwestern Undertones, STITCH Fashion, Waa-2, NSTV, .WAV Company",,"I'm floored honestly this person didn't answer any of the questions and it's obvious they spent maybe 10 minutes on the application. I also don't like their attitude of ""We're the best"" because it doesn't feel like the right type of pride tour guides have of being a wildcat- it seems negative. ","""If you're not here to be the best you can be, why are you here?"" seems like a red flag honestly...like the personality is ""I""m better than you"" and ""NU is competitive""",SOC,Theater
352,4/23/2019 10:15:05,Meghan Harshaw,3062893,3062893,Reader 1,2,2,1,3," Kellogg Office of Advancement, China Care Club, Club Tennis",,"I think this person gives a strong effort/unique ideas being a transfer but did not 100% nail it. They would need further training on how to speak about the school being JUST as important as the people, and how to speak about being rejected the first time around. Some of what they said came off as negative, even though it's clear that's not what is intended. I think this person could be a candidate but definitely is not ready to give a tour as is. Also the answer about North Korea was a lil weird but I like that they're interested in starting a club.",,SESP,Learning and Organizational Change
354,4/23/2019 10:21:53,Meghan Harshaw,2932483,2932483,Reader 1,4,4,4,4,"Extreme Measures a Cappella, WNUR DJ, Chi Omega",,"I think this person sounds like a prepared, articulate, and well-rounded person who with just a little bit of training could give a great tour! They are involved in different things and already have a good Why Northwestern of not having to box themselves into one interest/trait. Would be excited to have this person interview.",,SOC,RTVF
356,4/23/2019 10:28:40,Meghan Harshaw,3023401,3023401,Reader 1,4,3,4,4,"Research Assistant at ADAPT Lab, Spoon University, Delta Gamma",,"I love this person's answer about the Intercampus, they demonstrated thinking uniquely and interestingly, and using a small example to tell a larger story (Intercampus = community). I also feel that this person is very dedicated to their interests and that passion is pretty clear.",,WCAS,Neuroscience (pre-med)
358,4/23/2019 10:36:30,Meghan Harshaw,3030864,3030864,Reader 1,3,4,3,4,"Camp Kesem, Opera, Kappa Delta, AMPED",,This person has a super unique NU experience that was really engaging to read about - they also did a good job of explaining NU things they talked about were. They could provide a valuable perspective on how to apply music in day-to-day lives. (Also they noted they will probably do dual degree with SESP which is a cool combo!),,Bienen,vocal performance/music education
