,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
31,4/18/2019 17:35:11,Robby Winter,3015684,3015684,Reader 1,4,4,4,5,"Chapin Residential College, Applause for a Cause",,"I really enjoyed reading this applicant's writing--they are clearly deeply knowledgeable about the organizations they are involved with on campus (Applause for a Cause, Chapin), and they also illustrated a good breadth of knowledge about campus offerings in addressing the ""AND is in our DNA"" slogan. Although their ""coolest lesson"" response about the accessibility of professors felt somewhat bland, the rest of their answers were detailed, enthusiastic, and fun (especially the concert tour response).",,SOC,RTVF
40,4/18/2019 23:05:34,Robby Winter,3028208,3028208,Reader 1,2,2,1,4,"Peer Guided Study Group Facilitator, Poker Club",,"This candidate's answers were generally bland and not Northwestern-specific. I also felt like they used several phrases that would turn me off from Northwestern if I were their tour (e.g., ""going through a class,"" ""Where the weather is the only thing more stressful than school""); for this reason, I would be uncomfortable with this candidate as a guide based on their app.",,MEAS,"Industrial Engineering, Economics (minor)"
41,4/18/2019 23:13:08,Robby Winter,2954368,2954368,Reader 1,4,5,4,4,"Varsity Fencing, AKPsi",,"This student has incredibly diverse experiences on campus (spanning varsity athletics, music, business exposure, and concert/theatrical production attendance), and more importantly, they exhibit genuine passion and knowledge surrounding these activities. Their ""coolest lesson"" and ""re-branding"" responses are stories of Northwestern's support for its student body that I would love to hear as a prospective student/family member.",,WCAS,"Psychology, BIP (Minor)"
42,4/18/2019 23:32:52,Robby Winter,3095385,3095385,Reader 1,3,4,2,3,"Club Tennis, Phi Kappa Psi, Sports Night, Sportsman Club",,"This applicant evidently is passionate and enthusiastic about Northwestern, and I was impressed by their breadth of experiences on campus and their energy for Northwestern athletics. However, I thought that their responses (especially to the ""lesson"" and ""re-branding"" questions) indicated a weaker ability to describe what exactly makes Northwestern special or unique, and their ""lesson"" response strayed substantially from the actual question asked.",,Medill,"Journalism, RTVF (Minor), IMC (Certificate)"
43,4/18/2019 23:40:50,Robby Winter,3096039,3096039,Reader 1,4,2,3,4,"Baja Car Team, Delta Chi",,"This applicant comes across as friendly and enthusiastic, and he seems to have a strong ability to celebrate Northwestern's student body as both academic- and community-oriented. His ""lesson"" response was somewhat generic and I did not love his use of the phrase ""Work hard, play hard,"" but I think this could easily be coached out of him.",,MEAS,"Mechanical Engineering, Computer Science (minor), Segal Design Certificate"
44,4/18/2019 23:49:11,Robby Winter,3095681,3095681,Reader 1,4,1,3,4,Triathlon Club,,"This applicant does a strong job of conveying their passion for Triathlon Club and Northwestern's capacity to be both challenging and rewarding. I am admittedly concerned about their lack of campus involvement beyond Triathlon, and even though their responses to the ""lesson"" and ""re-branding"" questions were not particularly original, they were nevertheless very much in the spirit of Northwestern's values.",,SOC,RTVF
189,4/21/2019 17:28:24,Robby Winter,3124844,3124844,Reader 1,4,3,4,5,"Starbucks employee, AZN Magazine, Medill Student Services (also lists ""a dance group?"")",,"I really enjoyed reading this student's answers--their answers to the ""re-branding,"" ""lesson,"" and ""fly on the wall"" prompts helped them come across as charming, friendly, and someone I'd enjoy having as my tour guide. Some of the language they use (e.g., ""NU students are [...] constantly working"") is not ideal, but the applicant is evidently passionate about Northwestern and could easily be coached to use more agreeable phrasing.",,"WCAS, Medill","Journalism, Computer Science (minor), IMC (certificate), Segal Design Certificate"
190,4/21/2019 18:03:52,Robby Winter,3120877,3120877,Reader 1,3,4,2,3,"Sailing Team, Phonathon",,"This applicant has a good level of campus awareness and expressed a strong level of knowledge about the arts on campus. However, many of their responses (""lesson,"" ""re-branding,"" ""fly on the wall"") were generic, and although they might be true of Northwestern, the student did not put in a concerted effort to explicitly connect their answers to specific features of NU.",,WCAS,"Economics, Political Science"
191,4/21/2019 18:15:03,Robby Winter,3094737,3094737,Reader 1,4,4,3,4,"Blockchain Club, Sigma Chi, The Garage (Tinkerer Program)",,"Despite some blips in storytelling quality (introduction of details without fully explaining them), this applicant does a strong job of expressing his excitement about Northwestern and the organizations he engages with on campus. By highlighting Dance Marathon, engineering opportunities, and Northwestern's collaborative student culture, he does a solid job of expressing NU as unique.","The applicant's response to the ""fly on the wall"" question made me a little uncomfortable. It's possible that what he was trying to say just got lost in translation, but I thought it was worth pointing out.",MEAS,"Computer Science, Music Technology (minor)"
192,4/21/2019 18:23:19,Robby Winter,3118589,3118589,Reader 1,5,5,4,5,"Supplies for Dreams, North by Northwestern, Lovers & Madmen Theatre Co., CRC Res College Board, Dance Marathon",,"This candidate has a very strong ability to communicate why they specifically love Northwestern; their stories (both in terms of content and explanation) really gave me the ""warm 'n' fuzzies."" I am also very impressed by their diversity of experiences on campus.",,Medill,"Journalism (considering Legal Studies, Computer Science)"
