,Timestamp,Reader,Applicant ID #,Applicant ID # Confirm,Reader #,Appropriate,Campus Awareness,Originality,Thoroughness,Campus Involvement,Video (Y/N),Comments,Reasons for Concern,Schools,Majors
76,4/19/2019 12:45:28,Stavros Agorakis,3131036,3131036,Reader 2,3,1,1,2,"ShireiNu, Alpha Chi Omega, Boxing club",,"No effort was put into this app, answers felt like they could be applied to any university with an a cappella group and a large student body. ",,SOC,"Comm Studies, general music minor"
80,4/19/2019 12:54:06,Stavros Agorakis,3022639,3022639,Reader 2,3,4,4,3,"Sailing team, Norris PSV Star Command, Nine Lives, TriDelt",,"I definitely got a sense of the applicant's voice, though I do wish there was a video component to this app. The written portion seemed a bit repetitive at times. ",,Medill,"journalism, history + design (undeclared minors)"
82,4/19/2019 12:58:41,Stavros Agorakis,3095385,3095385,Reader 2,1,1,1,1,"Tennis team, Phi Psi, Sports Night, Sportsman Club",,"No effort in the application, no originality, looks like applicant didn't read the first question right. ",,Medill,"Journalism, RTVF minor, IMC certificate"
84,4/19/2019 13:06:26,Stavros Agorakis,3082857,3082857,Reader 2,4,2,4,3,"Zeta, lab, Student Health Advisory Committee",,"Applicant was very appropriate, though some of the answers ran long and were a little unfocused (made me lose track of what I was reading). They appear very, very passionate about NU, though. ",,WCAS,"Neuroscience, Psychology, Global Health, Pre-med"
85,4/19/2019 13:12:32,Stavros Agorakis,2950555,2950555,Reader 2,1,2,2,3,"Lacrosse, SPAC work study, SWE",,"I had a difficult time with this app--the response to the second question lessons learned made me uncomfortable, and it didn't look like the student learned anything other than ""check your biases,"" which she didn't elaborate on in the first place. Other than that, answers were generally unfocused.",There's a video link but the video is unavailable. ,MEAS,"Biomed engineering, psychology"
89,4/19/2019 13:25:24,Stavros Agorakis,3120075,3120075,Reader 2,3,2,2,3,"Norris cashier's office, lab",,"Quite middle-of-the-road application, nothing really stood out to me",,SOC,"Human Communication Sciences, Psychology, Kaplan Humanities scholar"
95,4/19/2019 13:42:47,Stavros Agorakis,3106430,3106430,Reader 2,4,3,4,4,"work study, student theater, Willard social chair",,"This applicant gave me something new, I really enjoyed reading about aspects of campus I didn't know about. Very refreshing. ",,SOC,"Theater, Physics"
103,4/19/2019 14:02:57,Stavros Agorakis,3117115,3117115,Reader 2,3,3,3,3,"MUN, Camp Kesem, Alpha Chi Omega",,"I think I saw a semblance of their voice in the app, but I'm definitely interested in seeing them during an interview.",,WCAS,"Econ, Global Health, pre-med"
239,4/22/2019 11:21:00,Stavros Agorakis,3137401,3137401,Reader 2,4,3,4,4,"Delt, running club",,"This applicant comes off really kind. There's definitely room for improvement on the campus awareness aspect, but I'd be interested in seeing them in person to validate the high appropriateness/thoroughness scores.",,WCAS,"Biology, premed"
241,4/22/2019 11:25:32,Stavros Agorakis,3044327,3044327,Reader 2,5,4,4,5,"Chi O, Happiness club, DM",,"This applicant's experiences will be relevant to many prospective students. Super appropriate, focused answers that did not go on for longer than they should.",,SOC,"RTVF, Art Theory and Practice"
244,4/22/2019 11:32:49,Stavros Agorakis,2959254,2959254,Reader 2,4,3,2,4,"Blackout, Studio 22, PA, Brady Campaign Chapter ",,"Application ran a little long, and there were a couple sentences that didn't convey meaning (i.e. were unfinished). Overall good messages to hear on a tour, but applicant only spoke of their involvement in film. Would like to see more.",,SOC,"RTVF, African American Studies"
249,4/22/2019 11:46:53,Stavros Agorakis,3021439,3021439,Reader 2,2,3,3,4,"Blackout, NNN, sorority",,"I was very torn by this application. The candidate obviously bleeds purple, but their answers are not grounded to experiences as much as enthusiasm, and I'm not sure the tangents they went on were the most appropriate. ",,Medill,"Journalism, psychology, IMC"
252,4/22/2019 11:58:18,Stavros Agorakis,3028580,3028580,Reader 2,4,4,4,5,"Daily NU business office, Spectrum theater, ShireiNU a cappella, Essence tap, GPhi",,Great applicant with focused responses and a great voice. Super involved and appropriate.,,SOC,"Theater, sociology, IMC, TYA module"
312,4/22/2019 21:26:40,Stavros Agorakis,3027168,3027168,Reader 2,3,2,2,3,"NU sports analytics group, Club golf, SigChi",,"An OK application, the candidate didn't really go in depth in their answers and must've misunderstood the slogan question. ",,WCAS,"Econ, Stats, BIP"
314,4/22/2019 21:34:37,Stavros Agorakis,3097111,3097111,Reader 2,2,3,3,3,"Phonathon, Willard exec, Hearts for the Homeless, ukulele club",,"The application started off really strong, but the slogan response was weak. Also they wrote about some bad press about NU/focused on other universities being better with branding and didn't really provide a spin.","""Though if NU has a scandal come out, it might be a bad slogan."" """,WCAS,Slavic languages
316,4/22/2019 21:42:22,Stavros Agorakis,3095518,3095518,Reader 2,3,4,4,4,"Work study, sailing team, MUN, PA, sorority",No Change,"Honestly, the application made me laugh. This applicant has a clear, lovely voice, but I'd love more concise, targeted answers in a couple questions.",,SESP,"Social policy, Economics, Segal design certificate"
318,4/22/2019 21:47:24,Stavros Agorakis,3093206,3093206,Reader 2,4,2,2,3,"Volleyball, NU Younglife, College Mentors for America",,"Answers were a little short, I'd personally like to see more of this applicant if they're invited for an interview.",,WCAS,"Econ, Sociology"
319,4/22/2019 21:53:39,Stavros Agorakis,3051112,3051112,Reader 2,5,5,5,5,"NBN, Reformed University fellowship, squash",,"This journalist knows their stuff, remains super appropriate throughout the app and has the most passionate, thorough and original application I've read so far. ",,Medill,"Journalism, geography, religious studies"
320,4/22/2019 21:57:26,Stavros Agorakis,3028125,3028125,Reader 2,2,1,1,1,"NUCHR, Al-Bayan magazine",,Application was very generic and short.,"""Everyone is cheerful and helpful which was a major change from my previous school where the slogan was 'Where Fun Goes to Die.'""",Medill,"Journalism, PoliSci"
321,4/22/2019 22:01:34,Stavros Agorakis,3049832,3049832,Reader 2,3,2,3,3,"lab, SigChi",,"The first two responses were strong, but the latter two felt a little short and repetitive. The applicant knows their way around a lab, but seemingly not much else. I'd wait a year.",,WCAS,"Bio, honors med"
349,4/23/2019 10:04:19,Stavros Agorakis,3014778,3014778,Reader 2,4,4,5,5,"Camp Kesem, Evans Scholars, Lurie's Children's Hospital",,"Very honest (but not oversharing) application. I really got a clear, engaging voice from the candidate. ",,WCAS,"Neuroscience, global health, premed"
